SAMPA	IPA	CS	CNC
# - is just a technical symbol used in exceptions.tsv to prevent
# CSPs like voicing assimilation, hiatus insertion, merging of
# two vowels into a diphthong etc.
-	-	-	-
i:	iː	í	í
I	ɪ	i	i
E	ɛ	e	e
E:	ɛː	é	é
a	a	a	a
a:	aː	á	á
o	o	o	o
o:	oː	ó	ó
u	u	u	u
u:	uː	ú	ú
o_u	o͡u	ou̯	ou
a_u	a͡u	au̯	au
E_u	ɛ͡u	eu̯	eu
p	p	p	p
b	b	b	b
t	t	t	t
d	d	d	d
c	c	ť	ť
J\	ɟ	ď	ď
k	k	k	k
g	ɡ	g	g
f	f	f	f
v	v	v	v
s	s	s	s
z	z	z	z
S	ʃ	š	š
Z	ʒ	ž	ž
x	x	ch	ch
h\	ɦ	h	h
t_s	ʦ	c	c
t_S	ʧ	č	č
m	m	m	m
n	n	n	n
J	ɲ	ň	ň
r	r	r	r
l	l	l	l
j	j	j	j
P\	r̝	ř	ř
G	ɣ	ɣ	ɣ
d_z	ʣ	dz	ʒ
d_Z	ʤ	dž	ǯ
Q\	r̝̊	ř̭	ř
N	ŋ	ŋ	ŋ
F	ɱ	ɱ	ɱ
r=	r̩	r̥	r
l=	l̩	l̥	l
m=	m̩	m̥	m
?	ʔ	ʔ
@	ə	ə	ə
